Recall,Precision,F1 score,Validation Critic,Anomaly Critic,Val-Anom critic,Critic cost,Critic cost gp,Mean critic cost,Evaluation time,TP,FP,TN,FN
0.390625,0.390625,0.390625,-40.2813949584961,-39.9583969116211,0.322998046875,-0.94268798828125,-0.841535687446594,-40.2813949584961,1.55454993247986,25,39,25,39
0.171875,0.171875,0.171875,-38.2869911193848,-36.1176795959473,2.1693115234375,-0.833168029785156,-0.815359652042389,-38.2869911193848,1.75361204147339,11,53,11,53
0.171875,0.171875,0.171875,-44.1915054321289,-42.833381652832,1.35812377929688,-0.59747314453125,-0.476754546165466,-44.1915054321289,1.57927107810974,11,53,11,53
0.109375,0.109375,0.109375,-44.7122764587402,-42.3605270385742,2.35174942016602,-0.956375122070312,-0.771924555301666,-44.7122764587402,1.60789895057678,7,57,7,57
0.59375,0.59375,0.59375,-37.9199066162109,-37.9226913452148,-0.002784729003906,-0.973197937011719,-0.865297734737396,-37.9199066162109,1.58254218101501,38,26,38,26
0.171875,0.171875,0.171875,-43.0762481689453,-41.4754104614258,1.60083770751953,-0.901157379150391,-0.639375925064087,-43.0762481689453,1.53925013542175,11,53,11,53
0.046875,0.046875,0.046875,-43.3332252502441,-40.3167839050293,3.01644134521484,-1.04591369628906,-0.834814608097076,-43.3332252502441,1.53765797615051,3,61,3,61
0.5625,0.5625,0.5625,-38.709114074707,-38.8654327392578,-0.156318664550781,-0.621994018554688,-0.512963712215424,-38.709114074707,1.56043910980225,36,28,36,28
0.359375,0.359375,0.359375,-34.8206481933594,-34.1378173828125,0.682830810546875,-0.681659698486328,-0.645765006542206,-34.8206481933594,1.57439589500427,23,41,23,41
0.078125,0.078125,0.078125,-33.2630157470703,-30.4591789245605,2.80383682250977,-1.1534481048584,-0.912390172481537,-33.2630157470703,1.55831694602966,5,59,5,59
0.25,0.25,0.25,-31.1157608032227,-30.2687072753906,0.847053527832031,-0.601417541503906,-0.567481577396393,-31.1157608032227,1.57454919815063,16,48,16,48
0.609375,0.609375,0.609375,-33.0262718200684,-33.3423004150391,-0.316028594970703,-0.674514770507813,-0.642237782478333,-33.0262718200684,1.5757040977478,39,25,39,25
0.171875,0.171875,0.171875,-28.3715267181396,-27.3123168945312,1.0592098236084,-0.728878021240234,-0.699527323246002,-28.3715267181396,1.71238398551941,11,53,11,53
0.078125,0.078125,0.078125,-25.4610481262207,-23.4798145294189,1.98123359680176,-0.867233276367188,-0.786117434501648,-25.4610481262207,1.57332301139832,5,59,5,59
0.578125,0.578125,0.578125,-28.5077381134033,-28.7898845672607,-0.282146453857422,-0.788639068603516,-0.653609275817871,-28.5077381134033,1.56164503097534,37,27,37,27
0.078125,0.078125,0.078125,-33.4587249755859,-29.8555774688721,3.60314750671387,-0.941947937011719,-0.916917622089386,-33.4587249755859,1.59258604049683,5,59,5,59
0.203125,0.203125,0.203125,-25.5759582519531,-24.6694869995117,0.906471252441406,-0.72119140625,-0.588031768798828,-25.5759582519531,1.59151315689087,13,51,13,51
0.28125,0.28125,0.28125,-26.0077705383301,-25.1316471099854,0.876123428344727,-0.788290023803711,-0.737279117107391,-26.0077705383301,1.59035992622376,18,46,18,46
0.328125,0.328125,0.328125,-32.9588432312012,-32.5221176147461,0.436725616455078,-0.427131652832031,-0.384869396686554,-32.9588432312012,1.63203716278076,21,43,21,43
0.0625,0.0625,0.0625,-26.7327880859375,-24.2317905426025,2.50099754333496,-0.708972930908203,-0.673267841339111,-26.7327880859375,1.57797002792358,4,60,4,60
0.5,0.5,0.5,-28.4779968261719,-28.5461540222168,-0.068157196044922,-0.782844543457031,-0.588078141212463,-28.4779968261719,1.56647801399231,32,32,32,32
0.78125,0.78125,0.78125,-24.4543476104736,-25.4554100036621,-1.00106239318848,-0.844850540161133,-0.651020050048828,-24.4543476104736,1.57902693748474,50,14,50,14
0.921875,0.921875,0.921875,-19.3852882385254,-21.0735740661621,-1.68828582763672,-0.519939422607422,-0.482697755098343,-19.3852882385254,1.57548308372498,59,5,59,5
0.1875,0.1875,0.1875,-27.5493259429932,-26.6883449554443,0.860980987548828,-0.606845855712891,-0.566526889801025,-27.5493259429932,1.74209690093994,12,52,12,52
0.859375,0.859375,0.859375,-24.3437843322754,-25.9519462585449,-1.60816192626953,-0.704685211181641,-0.671996474266052,-24.3437843322754,1.58483600616455,55,9,55,9
0.84375,0.84375,0.84375,-26.3171348571777,-27.4959678649902,-1.1788330078125,-0.629314422607422,-0.553147256374359,-26.3171348571777,1.58552694320679,54,10,54,10
0.3125,0.3125,0.3125,-27.1357650756836,-26.6696491241455,0.466115951538086,-0.561962127685547,-0.521397352218628,-27.1357650756836,1.59749913215637,20,44,20,44
0.421875,0.421875,0.421875,-23.9134674072266,-23.7601852416992,0.153282165527344,-0.559474945068359,-0.523728311061859,-23.9134674072266,1.57356715202332,27,37,27,37
0.109375,0.109375,0.109375,-24.9216918945312,-23.7989730834961,1.12271881103516,-0.561376571655273,-0.511355698108673,-24.9216918945312,1.77501606941223,7,57,7,57
0.390625,0.390625,0.390625,-27.2651081085205,-26.9664745330811,0.298633575439453,-0.583637237548828,-0.547375679016113,-27.2651081085205,1.58902883529663,25,39,25,39
0.6875,0.6875,0.6875,-22.8068618774414,-23.1967811584473,-0.389919281005859,-0.557249069213867,-0.53237920999527,-22.8068618774414,1.60360407829285,44,20,44,20
0.671875,0.671875,0.671875,-22.0963287353516,-22.86572265625,-0.769393920898438,-0.608802795410156,-0.577873647212982,-22.0963287353516,1.59676885604858,43,21,43,21
0.578125,0.578125,0.578125,-23.9576110839844,-24.2159233093262,-0.258312225341797,-0.50160026550293,-0.468317478895187,-23.9576110839844,1.60528087615967,37,27,37,27
0.84375,0.84375,0.84375,-19.1658496856689,-20.0777320861816,-0.911882400512695,-0.521181106567383,-0.48328697681427,-19.1658496856689,1.73943400382996,54,10,54,10
0.078125,0.078125,0.078125,-19.9543342590332,-18.4611053466797,1.49322891235352,-0.718839645385742,-0.663630902767181,-19.9543342590332,1.5807740688324,5,59,5,59
0.265625,0.265625,0.265625,-19.510555267334,-19.0187530517578,0.491802215576172,-0.733482360839844,-0.682790756225586,-19.510555267334,1.61080002784729,17,47,17,47
